SQL_DWL>l
  1  select office_code||','||aptos_extracted_date||','||sum(invoice_amt)
  2  from invoice
  3  group by office_code,aptos_extracted_date
  4* order by aptos_extracted_date,office_code
SQL_DWL>/

OFFICE_CODE||','||APTOS_EXTRACTED_DATE||','||SUM(INVOI                                                                              
------------------------------------------------------                                                                              
CRA,03-DEC-99,20673                                                                                                                 
CRA,07-DEC-99,210970.87                                                                                                             
,10-DEC-99,12768                                                                                                                    
PAL,13-DEC-99,1207080                                                                                                               
CRA,14-DEC-99,251105.4                                                                                                              
,14-DEC-99,28070                                                                                                                    
PAL,15-DEC-99,14757798                                                                                                              
PAL,17-DEC-99,24321937                                                                                                              
PAL,20-DEC-99,45927788                                                                                                              
CRA,07-JAN-00,1635679.28                                                                                                            
PAL,12-JAN-00,608486189.02                                                                                                          
CRA,13-JAN-00,457926.6                                                                                                              
PAL,13-JAN-00,14348666                                                                                                              
CRA,18-JAN-00,414990.38                                                                                                             
PAL,19-JAN-00,186912607.7                                                                                                           
CRA,20-JAN-00,262510.25                                                                                                             
PAL,21-JAN-00,41581703.2                                                                                                            
PAL,26-JAN-00,194883073.2                                                                                                           
CRA,27-JAN-00,202813.44                                                                                                             
PAL,28-JAN-00,61770346.4                                                                                                            
PAL,31-JAN-00,89333252                                                                                                              
PAL,01-FEB-00,24836308                                                                                                              
CRA,02-FEB-00,356364.87                                                                                                             
CRA,04-FEB-00,254784.85                                                                                                             
CRA,07-FEB-00,409979.11                                                                                                             
PAL,07-FEB-00,97502790.6                                                                                                            
PAL,09-FEB-00,121334119                                                                                                             
CRA,11-FEB-00,1048394.25                                                                                                            
PAL,14-FEB-00,140645404                                                                                                             
PAL,15-FEB-00,126551001.52                                                                                                          
PAL,16-FEB-00,68270007.2                                                                                                            
CRA,17-FEB-00,789809.27                                                                                                             
CRA,21-FEB-00,300383.7                                                                                                              
PAL,22-FEB-00,58954341.5                                                                                                            
PAL,23-FEB-00,109759424.1                                                                                                           
PAL,24-FEB-00,119461370.97                                                                                                          
PAL,25-FEB-00,95052922.5                                                                                                            
PAL,28-FEB-00,67710666.9                                                                                                            
PAL,29-FEB-00,63368177                                                                                                              
CRA,03-MAR-00,687174.52                                                                                                             
PAL,06-MAR-00,106796317.9                                                                                                           
CRA,07-MAR-00,237994.01                                                                                                             
CRA,10-MAR-00,202151.46                                                                                                             
PAL,10-MAR-00,330150864.8                                                                                                           
PAL,16-MAR-00,104484035.15                                                                                                          
PAL,17-MAR-00,20788359                                                                                                              
CRA,20-MAR-00,1913307.04                                                                                                            
